#timestamp [ns],w_RS_S_x [rad s^-1],w_RS_S_y [rad s^-1],w_RS_S_z [rad s^-1],a_RS_S_x [m s^-2],a_RS_S_y [m s^-2],a_RS_S_z [m s^-2]
1717170240434094393,0.0,0.0,0.0,3.758565431505076e-37,1.7632416383373084e-37,9.8100004196167
1717170240496632810,-2.7330315788276494e-06,-1.8087047237713705e-06,4.711613321717323e-10,-1278.97314453125,-599.9999389648438,-1035.100341796875
1717170240514807904,-1.723450395729742e-06,-5.605017463494733e-07,1.312878694648134e-10,-0.00015624999650754035,-7.812499825377017e-05,13.744062423706055
1717170240532302316,4.803144975085161e-07,-1.4989235808116064e-07,-1.3362100315106318e-10,0.0,7.812499825377017e-05,12.409844398498535
1717170240585886135,-3.8935503710035846e-08,-4.4738854398929107e-07,-5.7236111683511837e-11,0.0,0.0,11.518516540527344
1717170240633889081,1.5434920896950644e-07,-3.359247955359024e-07,-1.0976275444107841e-10,0.0,0.0,10.9291410446167
1717170240687816568,2.680652357867075e-07,-2.714914728585427e-07,-1.4638959489055026e-10,0.0,0.0,10.54117202758789
1717170240740762599,-4.820082040168927e-07,1.633045627613683e-07,-1.131170712653784e-10,0.0,0.0,10.286328315734863
1717170240793348295,5.283844188852527e-07,-1.7814882369293628e-07,-5.3082017947847504e-11,0.0,0.0,10.119375228881836
1717170240847205079,6.684157369818422e-07,-1.4518062130264298e-07,-4.853747265221031e-11,0.0,0.0,10.010625839233398
1717170240891095257,8.216501328206505e-07,-1.1856136694632369e-07,2.3045287900202993e-11,0.0,0.0,9.93960952758789
1717170240932039749,-7.796365220080759e-10,-4.457485829334473e-07,-1.063332755180113e-10,0.0,0.0,9.893750190734863
1717170240984914708,9.075009188563854e-07,-4.7881417941653126e-08,-4.8539505748124157e-11,0.0,0.0,9.863750457763672
1717170241039625872,-5.595233005806222e-07,-1.1772709029855832e-08,-1.5104251183117867e-10,0.0,7.812499825377017e-05,9.844687461853027
1717170241089183391,0.0,0.0,0.0,0.0,-7.812499825377017e-05,9.87109375
1717170241139658152,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717170241184911656,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717170241232916193,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717170241283222412,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717170241341227726,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717170241389296467,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717170241432379708,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717170241484251310,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717170241537714506,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717170241590618659,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717170241641671009,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717170241690809320,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717170241731385080,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717170241790465558,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717170241839076204,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717170241894102940,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717170241931097120,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717170241981671780,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717170242032658693,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717170242089976510,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717170242131609877,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717170242182893640,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717170242232666596,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717170242288032686,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717170242338022211,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717170242389041153,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717170242438701167,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717170242481884708,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717170242538839726,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717170242581811783,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717170242633536678,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717170242686756079,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717170242741200056,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717170242796459459,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717170242847710696,1.394108721797238e-06,1.883929279244967e-08,8.475747881320217e-12,0.0,0.0,9.554922103881836
1717170242883552123,-1.7181333760163398e-06,2.27289724819002e-08,1.5135925846010423e-10,0.0,-7.812499825377017e-05,9.982421875
1717170242947345240,3.8465586271740904e-07,3.751744372948451e-07,5.4998408605122506e-11,0.0,7.812499825377017e-05,9.890469551086426
1717170242981512957,-1.1270713002886623e-06,-3.422040890654898e-07,-1.0115053239445615e-10,0.0,0.0,9.842812538146973
1717170243033892565,1.287480358769244e-06,-3.1745424067253225e-09,1.0159845187374117e-10,0.0,7.812499825377017e-05,9.819063186645508
1717170243091435846,-3.5415030197327724e-07,-8.66841975977195e-09,4.5796449965607167e-11,0.0,-7.812499825377017e-05,9.808281898498535
1717170243139625765,1.0905014846684935e-07,3.6653707979894534e-07,1.3360756945246521e-10,0.0,-7.812499825377017e-05,9.8041410446167
1717170243190566759,9.81721541393199e-07,1.1773802377490483e-08,-8.42233366382672e-11,0.0,7.812499825377017e-05,9.803438186645508
1717170243245454909,-1.498174029279653e-08,-1.0169501685197702e-08,-8.589760153165926e-11,0.0,0.0,9.790547370910645
1717170243290891727,9.256228281628864e-07,3.131631274300162e-07,-2.3720744118937986e-11,0.0,0.0,9.815468788146973
1717170243338563205,-4.0510727217224485e-08,-8.081430991069283e-08,3.72707073537093e-11,0.0,7.812499825377017e-05,9.809765815734863
1717170243390006636,-1.735616876885615e-07,-1.5695346178290492e-07,5.6051649433008777e-11,0.0,-7.812499825377017e-05,9.808438301086426
1717170243436382866,-2.369537384083742e-07,-2.3783894675943884e-07,1.1727729898325379e-11,0.0,-7.812499825377017e-05,9.8080472946167
1717170243482276967,-1.5321055002459616e-07,-2.6288975618626864e-07,-2.145174836376551e-11,0.0,7.812499825377017e-05,9.80820369720459
1717170243534318048,-6.228444959788249e-08,-2.9271711809997214e-07,-5.7964764932361135e-11,0.0,0.0,9.808438301086426
1717170243588036316,8.647091362945503e-07,4.863163027835071e-08,-1.626454873560057e-11,0.0,0.0,9.80875015258789
1717170243646485262,4.814828713506358e-08,1.0203404343656075e-08,-1.4383389227920484e-12,0.0,0.0,9.807890892028809
1717170243706165663,-6.63659818656015e-07,-3.3275244959440897e-07,6.462558266306928e-11,0.0,0.0,9.8100004196167
1717170243950893732,3.880864483107871e-07,3.4572167351143435e-08,-7.786499223172427e-11,0.0,0.0,9.8100004196167
1717170243967228756,-3.6126547797721287e-07,3.7438672961798147e-07,5.827569676819522e-11,0.0,0.0,9.809922218322754
1717170244007963672,-2.577736211151205e-07,-3.5165746226084593e-07,-2.21470411454483e-11,0.0,0.0,9.809844017028809
1717170244052964957,-2.611920990602812e-07,3.493049121061631e-07,-2.0463866712283618e-11,0.0,0.0,9.809687614440918
1717170244109724266,-1.184458326974891e-07,3.5868598047272826e-07,1.0017002505247063e-10,0.0,0.0,9.8100004196167
1717170244159494406,8.502343007421587e-07,1.6044721107277837e-09,-5.757805690564943e-11,0.0,0.0,9.809453964233398
1717170244211045880,0.0,0.0,0.0,0.0,0.0,9.8100004196167
1717170244258459256,9.121216066887428e-07,-3.217963069346297e-07,-2.274685995118375e-11,0.0,0.0,9.810546875
1717170244304680608,-1.5493684557554843e-08,8.159932463058794e-08,-3.212258931073464e-11,0.0,0.0,9.809453964233398
1717170244354725766,9.373701459480799e-07,-1.9538666151674988e-07,-1.4210504994949247e-10,0.0,0.0,9.8100004196167
1717170244405178953,-9.002451406558976e-07,-1.405068275062149e-07,1.1266325372627506e-10,0.0,0.0,9.8100004196167
1717170244457961393,2.2745185290773406e-08,-4.489255616135779e-07,-1.9456913510906837e-11,0.0,0.0,9.8100004196167
1717170244515374874,1.5435389855156245e-08,3.084517459228664e-07,6.426402465731229e-11,0.0,0.0,9.810391426086426
1717170244567163212,8.889493301467155e-07,1.4094297284827917e-08,1.5556375632108654e-11,0.0,0.0,9.809609413146973
1717170244614554791,2.332216553213584e-08,-3.186211756656121e-07,-1.5505029204998522e-10,0.0,0.0,9.8100004196167
1717170244653266608,5.0038014620668037e-08,-1.5697320110419355e-09,-5.111525352291535e-13,0.0,0.0,9.8100004196167
1717170244702583042,1.1994926296665653e-07,-3.139573490074099e-09,-3.7504038503249904e-13,0.0,0.0,9.8100004196167
1717170244756159239,1.0189827435169718e-06,3.4377634960947034e-07,-1.7436781185597994e-11,0.0,0.0,9.8100004196167
1717170244805253540,-2.7243705957857856e-08,-5.33405639657758e-08,1.8085689196256638e-11,0.0,0.0,9.8100004196167
1717170244856165418,6.788192195017473e-07,-5.266296057016007e-07,-1.129160445700883e-10,0.0,0.0,9.8100004196167
1717170244912058154,-9.064317509910325e-07,9.337687600918798e-08,7.173447946762224e-11,0.0,0.0,9.8100004196167
1717170244966300549,-1.066876848199172e-06,5.2524033122836045e-08,2.6853273077387385e-11,0.0,0.0,9.8100004196167
1717170245017881629,-1.77796906086769e-08,4.03397109494108e-07,2.530969531178151e-11,0.0,0.0,9.8100004196167
1717170245054728487,6.776416938691909e-08,7.848863781134696e-10,-2.7839794271983243e-12,0.0,0.0,9.8100004196167
1717170245109136358,-6.087920496611332e-07,3.594733186673693e-07,5.7383015006351457e-11,0.0,0.0,9.8100004196167
1717170245157874500,4.5802374870618223e-07,8.60074145236922e-09,-3.891026389979402e-11,0.0,0.0,9.8100004196167
1717170245209642012,5.195394692236732e-07,-0.008722706697881222,-4.882266239292221e-06,4.783722400665283,0.0006375520024448633,9.776095390319824
1717170245258910356,-7.787981530782417e-07,-0.009199954569339752,-5.244591193331871e-06,12.752378463745117,-0.0005479439860209823,9.768987655639648
1717170245305988743,-2.632981193073647e-07,-0.006087255664169788,-4.49177741757012e-06,10.025629043579102,-0.00012176849122624844,9.815013885498047
1717170245353161307,1.430580738315257e-07,-0.003064757212996483,-4.1151620280288626e-06,7.980891227722168,2.6816709578270093e-05,9.82125186920166
1717170245403661970,5.83617861593666e-07,-0.0009552288101986051,-3.819902758550597e-06,6.607600212097168,-1.3821022548654582e-05,9.817412376403809
1717170245454878425,2.0989260107739938e-08,0.0002713908033911139,-3.6807798551308224e-06,5.719038963317871,2.1409019609563984e-05,9.81235122680664
1717170245511577198,-8.726317446416942e-07,0.0008564952295273542,-3.6360640933708055e-06,5.175408363342285,1.8920140064437874e-05,9.808430671691895
1717170245562206107,1.3953728057458648e-06,0.0010553302709013224,-3.702703224917059e-06,4.854442119598389,-1.8832040950655937e-05,9.806056022644043
1717170245608745103,8.067834755820513e-07,0.0010510809952393174,-3.7902520944044227e-06,4.654385566711426,-9.803773718886077e-05,9.804527282714844
1717170245658596736,-6.545699875459832e-07,0.0009500043815933168,-3.892291260854108e-06,4.528746128082275,-2.0522245904430747e-05,9.804200172424316
1717170245703578083,-5.674503995578561e-07,0.0008095866069197655,-4.034021912957542e-06,4.451604843139648,5.957054963801056e-05,9.804014205932617
1717170245753609675,1.9894399372333282e-07,0.0006641843356192112,-4.1832363422145136e-06,4.405786514282227,-1.856436938396655e-05,9.80422306060791
1717170245809556309,2.085505457216641e-07,0.0005281656049191952,-4.365689164842479e-06,4.380507469177246,6.185874372022226e-05,9.804374694824219
1717170245859341372,-5.109774861011829e-07,0.00040906676440499723,-4.536723281489685e-06,4.369662761688232,-0.00021177234884817153,9.80456256866455
1717170245915468004,1.12972898591579e-07,0.00030695588793605566,-4.741088105220115e-06,4.367465496063232,6.161104829516262e-05,9.804717063903809
1717170245966625366,-6.11687141827133e-07,0.00022285494196694344,-4.922483640257269e-06,4.372498989105225,-1.4195215953805018e-05,9.805001258850098
1717170246012458177,4.411114318259024e-08,0.00015624928346369416,-5.128807515575318e-06,4.380537986755371,0.00010310785000910982,9.805031776428223
1717170246053352434,-6.576419764314778e-07,0.00011921651457669213,-5.1522592912078835e-06,4.397124767303467,-0.0002461759140715003,10.049417495727539
1717170246108894946,-6.90149477122759e-07,7.50162434997037e-05,-5.405782758316491e-06,4.388291835784912,0.00010537772323004901,9.697336196899414
1717170246160820034,-6.864175929877092e-07,5.945907105342485e-05,-5.527455414267024e-06,4.379654407501221,2.9709586669923738e-05,9.68454647064209
1717170246210614748,-6.475386271631578e-08,5.68784489587415e-05,-5.6958770073833875e-06,4.367518901824951,-0.00016573631728533655,9.764649391174316
1717170246255582668,-8.719525226297264e-07,5.898464587517083e-05,-5.8506143432168756e-06,4.35002326965332,3.1496278097620234e-05,9.796788215637207
1717170246305614601,1.329947167505452e-06,6.273285544011742e-05,-6.024703907314688e-06,4.330629348754883,-4.6654091420350596e-05,9.808304786682129
1717170246358075711,6.227488142940274e-07,6.740832031937316e-05,-6.162309091450879e-06,4.310286998748779,-4.4512973545352e-05,9.811698913574219
1717170246409380513,-4.05433297601121e-07,7.132966129574925e-05,-6.3036040955921635e-06,4.288066387176514,7.44791905162856e-05,9.811970710754395
1717170246452981987,5.034672767578741e-07,7.60998809710145e-05,-6.461893462983426e-06,4.265841484069824,-0.00027707644039765,9.810992240905762
1717170246504148323,-1.1545699862836045e-06,7.99062181613408e-05,-6.590205430256901e-06,4.242049217224121,0.00015448476187884808,9.809782981872559
1717170246557844133,1.270781240236829e-06,8.258943125838414e-05,-6.739675882272422e-06,4.218572616577148,-0.00011899398668901995,9.80911922454834
1717170246612936444,-1.2617691709237988e-06,8.52216180646792e-05,-6.860854227852542e-06,4.196030616760254,3.914889020961709e-05,9.808064460754395
1717170246658263960,2.5917756829585414e-07,8.74316247063689e-05,-7.012291462160647e-06,4.170986652374268,-0.00015420746058225632,9.807638168334961
1717170246719209238,8.761948606661463e-07,8.859033550834283e-05,-7.140506568248384e-06,4.147505760192871,-0.00011533225188031793,9.807366371154785
1717170246752645158,1.6494007581968617e-07,8.995289681479335e-05,-7.267397450050339e-06,4.123710632324219,8.189964864868671e-05,9.80686092376709
1717170246803885723,8.387471552850911e-07,9.115415014093742e-05,-7.391334747808287e-06,4.099916934967041,-7.236187957460061e-05,9.806666374206543
1717170246856365916,1.0102170335812843e-06,9.199307532981038e-05,-7.517320682381978e-06,4.0761213302612305,-0.00011174657265655696,9.806708335876465
1717170246903690523,7.560090580227552e-07,9.195023449137807e-05,-7.62821991884266e-06,4.053264141082764,-3.158553226967342e-05,9.806358337402344
1717170246955567217,-3.991043797668681e-07,9.18329824344255e-05,-7.765749614918604e-06,4.0279059410095215,-3.035554982488975e-05,9.806557655334473
1717170247007798805,-4.632894672340626e-07,0.00026656792033463717,-7.644551260455046e-06,3.950012445449829,-0.00010738437413237989,9.806975364685059
1717170247057534813,1.3384675412453362e-06,0.0011174300452694297,-6.349136128847022e-06,3.3380725383758545,-3.7260590033838525e-05,9.811421394348145
1717170247110137029,-1.6431482663392671e-07,0.00245436979457736,-3.6803521652473137e-06,1.94520902633667,-0.00017193050007335842,9.816758155822754
1717170247159507934,7.543454216829559e-07,0.003419084707275033,-9.133036655839533e-07,0.3680439293384552,1.6101291748782387e-06,9.817505836486816
1717170247203443915,5.097529651720833e-07,0.003795341355726123,1.3029807632847223e-06,-0.8694037199020386,-0.00013250231859274209,9.814214706420898
1717170247255205064,1.0906779834840563e-06,0.003738866187632084,2.942219452961581e-06,-1.7450101375579834,-2.7128276997245848e-05,9.8109130859375
1717170247310928702,7.690526331316505e-07,0.003439850639551878,4.126138264837209e-06,-2.3605027198791504,-7.315194670809433e-05,9.8087739944458
1717170247360479274,5.586545057667536e-07,0.0030276579782366753,4.940204235026613e-06,-2.7883095741271973,0.00023372509167529643,9.807036399841309
1717170247413768363,1.0100124825385137e-07,0.0025831207167357206,5.472849807119928e-06,-3.0833969116210938,-8.090984920272604e-05,9.806435585021973
1717170247457984133,-1.575006649545685e-07,0.002149170031771064,5.817902092530858e-06,-3.2813944816589355,7.298809941858053e-05,9.805859565734863
1717170247509403132,-1.5084586948432843e-06,0.0017493742052465677,5.968854566162918e-06,-3.4073140621185303,3.385529271326959e-05,9.805890083312988
1717170247554696451,1.050414994097082e-06,0.0013951670844107866,6.046177531970898e-06,-3.4824306964874268,7.224563887575641e-05,9.805595397949219
1717170247605560417,-3.07100776808511e-07,0.0010622515110298991,5.943593350821175e-06,-3.4961304664611816,-4.016381353721954e-06,9.805850982666016
1717170247658099250,1.5447280929947738e-06,0.0007785987108945847,5.811900791741209e-06,-3.4828085899353027,7.471600838471204e-05,9.805941581726074
1717170247717020213,1.6093487147372798e-06,0.0005189523799344897,5.599089490715414e-06,-3.4256014823913574,-1.0346911949454807e-06,9.806031227111816
1717170247764759400,3.177186442826496e-07,0.0002861365501303226,5.33357888343744e-06,-3.328904151916504,0.00015626299136783928,9.806188583374023
1717170247802682699,9.994409992941655e-07,9.193934238282964e-05,5.024375241191592e-06,-3.2071077823638916,3.0490211884171003e-06,9.806476593017578
1717170247855636984,-6.0010995639459e-07,-6.730229506501928e-05,4.7132684812822845e-06,-3.083357810974121,-3.4695294743869454e-05,9.806870460510254
1717170247910007305,9.905843398883007e-07,-0.00020362361101433635,4.396690201247111e-06,-2.941394090652466,0.0001248299377039075,9.807147979736328
1717170247961809985,-9.41059496994967e-09,-0.0003182007640134543,4.050834377267165e-06,-2.7837586402893066,4.808582889381796e-05,9.807289123535156
1717170248010265657,-6.102943927999149e-08,-0.00041384436190128326,3.7549511944234837e-06,-2.6223208904266357,-0.00010512806329643354,9.807832717895508
1717170248060713388,-1.8169026816394762e-07,-0.0004898522747680545,3.414041202631779e-06,-2.4545907974243164,0.00020891196618322283,9.807915687561035
1717170248110220469,-2.494735440450313e-07,-0.0005515781813301146,3.12540009872464e-06,-2.2830848693847656,-6.28432389930822e-05,9.808232307434082
1717170248157217775,5.870272730135184e-07,-0.0005871294415555894,2.8049707907484844e-06,-2.1165530681610107,1.7996235328610055e-05,9.808622360229492
1717170248211516553,-5.134917273608153e-07,-0.0006106309010647237,2.6116279059351655e-06,-1.9612553119659424,5.823840547236614e-05,9.808844566345215
1717170248255933203,-1.2774873994203517e-06,-0.00061448646010831,2.25352459892747e-06,-1.809077262878418,5.9605808928608894e-05,9.808978080749512
1717170248308059975,1.892671775749477e-06,-0.000628629990387708,2.257299684060854e-06,-1.6656494140625,-9.510643576504663e-05,9.809176445007324
1717170248359281754,2.485541585883766e-07,-0.0005965375457890332,1.5774029407111811e-06,-1.5234713554382324,0.00010142799146706238,9.809521675109863
1717170248404136260,-9.82195871301883e-08,-0.0007187342271208763,3.3610820082685677e-06,-1.353777527809143,2.5411241949768737e-05,9.80916690826416
1717170248453071056,-8.43712712139677e-07,-0.0003383133444003761,-1.0907236855928204e-06,-1.3216521739959717,-5.258402961771935e-05,9.810462951660156
1717170248508255447,-1.549937337586016e-06,-0.0005685389041900635,4.751338565256447e-06,-1.2670469284057617,-5.208397487876937e-05,9.809809684753418
1717170248557936995,8.220717404583411e-07,-0.00021985606872476637,-7.041462595225312e-07,-1.2893853187561035,2.5702744096633978e-05,9.810604095458984
1717170248608004150,-1.093429773391108e-06,-0.0005981700960546732,1.1329805147397565e-06,-1.0716549158096313,0.00010558471694821492,9.80866813659668
1717170248653901806,1.419888235432154e-06,-0.0002709275868255645,1.5035598153190222e-06,-1.0502172708511353,-1.1031256690330338e-05,9.810335159301758
1717170248705482865,-3.2554490303482453e-07,-0.0006366918096318841,5.182541826798115e-07,-0.8337159752845764,0.00010757761629065499,9.808932304382324
1717170248759116998,-1.2414191132847918e-06,-0.0003057205176446587,1.3608463405034854e-06,-0.8128876090049744,-8.748612890485674e-05,9.810516357421875
1717170248810444436,-3.757951390070957e-07,-0.0006686614360660315,2.481187379999028e-07,-0.5888655185699463,3.1576597393723205e-05,9.808943748474121
